dur	Csengery+Keller 1987	Csengery+Keller 1990	Komsi+Oramo 1994	Komsi+Oramo 1995	Whittlesey+Sallaberger 1997	Pammer+Kopatchinskaja 2004	Arnold+Pogossian 2004	Banse+Keller 2005	Arnold+Pogossian 2006	Melzer+Stark 2012	Melzer+Stark 2013	Kammer+Widmann 2017	Melzer+Stark 2017	Melzer+Stark 2019	dur mean 14	dur min 14	dur max 14	min	max		dur rel stdv (%) 14	dur rel range - (%) 14	dur rel range + (%) 14	dur rel range (%) 14	
35	1,06	1,06	1,22	1,22	1,30	1,14	1,08	1,22	1,13	1,20	1,20	1,28	1,17	1,03	1,16	1,03	1,30	MS19	WS97	35	0,08	-0,13	0,14	0,27	35
36	1,63	1,41	1,96	2,00	1,75	1,83	1,52	1,71	1,57	2,37	2,35	2,52	2,15	2,14	1,92	1,41	2,52	CK90	KW17	36	0,35	-0,51	0,60	1,11	36
37	3,24	3,46	3,10	3,00	4,10	3,89	3,34	3,77	3,30	4,03	4,30	3,54	4,37	3,97	3,67	3,00	4,37	KO95	MS17	37	0,45	-0,67	0,70	1,37	37
38	5,33	5,09	5,34	5,82	4,96	5,18	4,33	4,84	4,44	5,07	5,31	4,82	4,88	5,92	5,10	4,33	5,92	AP04	MS19	38	0,45	-0,77	0,83	1,59	38
39	2,42	2,83	3,34	2,89	3,12	2,96	2,50	2,82	2,50	2,97	2,99	2,86	2,89	2,86	2,85	2,42	3,34	CK87	KO94	39	0,25	-0,43	0,48	0,92	39
40	10,96	12,13	12,47	13,49	13,54	12,44	12,75	11,17	13,49	11,44	11,67	11,75	11,85	11,84	12,21	10,96	13,54	CK87	WS97	40	0,85	-1,25	1,33	2,58	40
	100,00	100,00	100,00	100,00	100,00	100,00	100,00	100,00	100,00	100,00	100,00	100,00	100,00	100,00	100,00										
dur parts	Csengery+Keller 1987	Csengery+Keller 1990	Komsi+Oramo 1994	Komsi+Oramo 1995	Whittlesey+Sallaberger 1997	Pammer+Kopatchinskaja 2004	Arnold+Pogossian 2004	Banse+Keller 2005	Arnold+Pogossian 2006	Melzer+Stark 2012	Melzer+Stark 2013	Kammer+Widmann 2017	Melzer+Stark 2017	Melzer+Stark 2019	mean 14	min 14	max 14				rel stdv (%) 14	rel range - (%) 14	rel range + (%) 14	rel range (%) 14	
I	14:36	14:23	13:30	13:22	14:03	13:31	14:48	15:00	14:32	13:49	13:47	13:01	13:54	14:24	14:03	13:01	15:00			I	4,2	-7,3	6,7	14,0	I
II	07:46	07:01	04:39	05:28	04:57	05:17	07:08	07:17	06:50	07:20	06:57	05:12	07:11	07:22	06:27	04:39	07:46			II	17,1	-28,1	20,2	48,3	II
III	13:23	12:52	12:53	12:56	12:26	12:41	15:10	13:58	14:14	13:25	12:57	11:45	13:03	13:22	13:13	11:45	15:10			III	6,1	-11,1	14,8	25,8	III
IV	17:25	17:34	17:20	18:35	18:01	16:56	19:06	18:20	18:44	19:19	19:21	15:38	18:03	19:28	18:08	15:38	19:28			IV	4,7	-13,8	7,3	21,1	IV
	53:10	51:50	48:22	50:21	49:27	48:25	56:12	54:35	54:20	53:54	53:03	45:37	52:11	54:35	51:52	45:37	56:12				5,1	-12,0	8,4	20,4	
perc parts	Csengery+Keller 1987	Csengery+Keller 1990	Komsi+Oramo 1994	Komsi+Oramo 1995	Whittlesey+Sallaberger 1997	Pammer+Kopatchinskaja 2004	Arnold+Pogossian 2004	Banse+Keller 2005	Arnold+Pogossian 2006	Melzer+Stark 2012	Melzer+Stark 2013	Kammer+Widmann 2017	Melzer+Stark 2017	Melzer+Stark 2019	mean 14	min 14	max 14				rel stdv (%) 14	rel range - (%) 14	rel range + (%) 14	rel range (%) 14	
I	27,46	27,76	27,90	26,54	28,42	27,93	26,35	27,47	26,75	25,64	26,00	28,55	26,63	26,37	27,13	25,64	28,55			I	0,92	-1,5	1,4	2,91	I
II	14,60	13,52	9,60	10,85	10,01	10,90	12,68	13,35	12,58	13,62	13,10	11,40	13,76	13,49	12,39	9,60	14,60			II	1,55	-2,8	2,2	4,99	II
III	25,19	24,83	26,64	25,69	25,15	26,19	27,00	25,58	26,20	24,90	24,41	25,77	25,01	24,49	25,50	24,41	27,00			III	0,79	-1,1	1,5	2,59	III
IV	32,75	33,88	35,85	36,93	36,43	34,98	33,98	33,59	34,47	35,84	36,50	34,27	34,60	35,65	34,98	32,75	36,93			IV	1,24	-2,2	1,9	4,18	IV
